[90mCompiling project (Scala 3.8.3, JVM (25))[0m
[90mCompiled project (Scala 3.8.3, JVM (25))[0m
Hello, World!
-- Benchmark for SubmissionPublisherLoops3Test --
-- Warming up ...
Iteration 0001: Success, per iter time: 4.4212 seconds
Iteration 0002: Success, per iter time: 3.2321 seconds
Iteration 0003: Success, per iter time: 3.4576 seconds
Iteration 0004: Success, per iter time: 3.1802 seconds
Iteration 0005: Success, per iter time: 2.9645 seconds
Iteration 0006: Success, per iter time: 4.9975 seconds
Iteration 0007: Success, per iter time: 4.3509 seconds
Iteration 0008: Success, per iter time: 6.0563 seconds
Iteration 0009: Success, per iter time: 5.2721 seconds
Iteration 0010: Success, per iter time: 4.6284 seconds
-- Running benchmark ...
Iteration 0001: Success, per iter time: 8.1818 seconds
Iteration 0002: Success, per iter time: 4.4712 seconds
Iteration 0003: Success, per iter time: 5.7496 seconds
Iteration 0004: Success, per iter time: 5.0916 seconds
Iteration 0005: Success, per iter time: 3.4945 seconds
Iteration 0006: Success, per iter time: 2.7155 seconds
Iteration 0007: Success, per iter time: 5.6821 seconds
Iteration 0008: Success, per iter time: 2.7664 seconds
Iteration 0009: Success, per iter time: 5.4139 seconds
Iteration 0010: Success, per iter time: 5.6577 seconds
Iteration 0011: Success, per iter time: 2.7664 seconds
Iteration 0012: Success, per iter time: 4.2728 seconds
Iteration 0013: Success, per iter time: 5.3019 seconds
Iteration 0014: Success, per iter time: 2.7391 seconds
Iteration 0015: Success, per iter time: 2.6396 seconds
Iteration 0016: Success, per iter time: 2.9469 seconds
Iteration 0017: Success, per iter time: 2.7752 seconds
Iteration 0018: Success, per iter time: 3.3250 seconds
Iteration 0019: Success, per iter time: 2.6143 seconds
Iteration 0020: Success, per iter time: 3.8959 seconds
Iteration 0021: Success, per iter time: 2.8028 seconds
Iteration 0022: Success, per iter time: 2.7126 seconds
Iteration 0023: Success, per iter time: 4.6081 seconds
Iteration 0024: Success, per iter time: 3.0193 seconds
Iteration 0025: Success, per iter time: 2.9496 seconds
Iteration 0026: Success, per iter time: 6.0927 seconds
Iteration 0027: Success, per iter time: 2.6150 seconds
Iteration 0028: Success, per iter time: 5.7865 seconds
Iteration 0029: Success, per iter time: 5.1996 seconds
Iteration 0030: Success, per iter time: 6.5812 seconds
Iteration 0031: Success, per iter time: 3.0300 seconds
Iteration 0032: Success, per iter time: 5.9645 seconds
Iteration 0033: Success, per iter time: 2.8842 seconds
Iteration 0034: Success, per iter time: 6.6191 seconds
Iteration 0035: Success, per iter time: 3.9401 seconds
Iteration 0036: Success, per iter time: 5.3201 seconds
Iteration 0037: Success, per iter time: 4.3146 seconds
Iteration 0038: Success, per iter time: 3.0791 seconds
Iteration 0039: Success, per iter time: 3.1941 seconds
Iteration 0040: Success, per iter time: 2.8211 seconds
Iteration 0041: Success, per iter time: 3.9009 seconds
Iteration 0042: Success, per iter time: 2.7336 seconds
Iteration 0043: Success, per iter time: 4.5196 seconds
Iteration 0044: Success, per iter time: 3.2111 seconds
Iteration 0045: Success, per iter time: 3.3613 seconds
Iteration 0046: Success, per iter time: 4.2676 seconds
Iteration 0047: Success, per iter time: 6.3001 seconds
Iteration 0048: Success, per iter time: 4.2098 seconds
Iteration 0049: Success, per iter time: 4.7093 seconds
Iteration 0050: Success, per iter time: 5.8913 seconds
Iteration 0051: Success, per iter time: 6.1809 seconds
Iteration 0052: Success, per iter time: 5.3553 seconds
Iteration 0053: Success, per iter time: 4.6627 seconds
Iteration 0054: Success, per iter time: 6.6106 seconds
Iteration 0055: Success, per iter time: 6.2262 seconds
Iteration 0056: Success, per iter time: 3.9207 seconds
Iteration 0057: Success, per iter time: 5.9127 seconds
Iteration 0058: Success, per iter time: 7.1423 seconds
Iteration 0059: Success, per iter time: 4.3903 seconds
Iteration 0060: Success, per iter time: 4.4071 seconds
Iteration 0061: Success, per iter time: 3.6110 seconds
Iteration 0062: Success, per iter time: 5.1879 seconds
Iteration 0063: Success, per iter time: 3.1176 seconds
Iteration 0064: Success, per iter time: 4.1993 seconds
Iteration 0065: Success, per iter time: 4.4769 seconds
Iteration 0066: Success, per iter time: 5.1957 seconds
Iteration 0067: Success, per iter time: 3.4304 seconds
Iteration 0068: Success, per iter time: 3.3674 seconds
Iteration 0069: Success, per iter time: 2.6885 seconds
Iteration 0070: Success, per iter time: 3.8649 seconds
Iteration 0071: Success, per iter time: 4.0177 seconds
Iteration 0072: Success, per iter time: 5.3562 seconds
Iteration 0073: Success, per iter time: 4.7534 seconds
Iteration 0074: Success, per iter time: 3.1443 seconds
Iteration 0075: Success, per iter time: 5.3790 seconds
Iteration 0076: Success, per iter time: 2.8544 seconds
Iteration 0077: Success, per iter time: 2.8460 seconds
Iteration 0078: Success, per iter time: 3.8314 seconds
Iteration 0079: Success, per iter time: 2.7673 seconds
Iteration 0080: Success, per iter time: 6.0800 seconds
Iteration 0081: Success, per iter time: 2.9588 seconds
Iteration 0082: Success, per iter time: 4.3512 seconds
Iteration 0083: Success, per iter time: 6.4744 seconds
Iteration 0084: Success, per iter time: 3.3824 seconds
Iteration 0085: Success, per iter time: 4.2472 seconds
Iteration 0086: Success, per iter time: 3.0533 seconds
Iteration 0087: Success, per iter time: 3.2188 seconds
Iteration 0088: Success, per iter time: 3.2269 seconds
Iteration 0089: Success, per iter time: 2.8465 seconds
Iteration 0090: Success, per iter time: 3.6111 seconds
Iteration 0091: Success, per iter time: 2.7508 seconds
Iteration 0092: Success, per iter time: 3.0661 seconds
Iteration 0093: Success, per iter time: 5.3383 seconds
Iteration 0094: Success, per iter time: 3.1564 seconds
Iteration 0095: Success, per iter time: 2.8348 seconds
Iteration 0096: Success, per iter time: 3.2549 seconds
Iteration 0097: Success, per iter time: 4.2909 seconds
Iteration 0098: Success, per iter time: 4.4330 seconds
Iteration 0099: Success, per iter time: 6.6323 seconds
Iteration 0100: Success, per iter time: 2.9623 seconds
-- Statistics:
 Average time: 4.2021 seconds
 Std Dev time: 1.3218 seconds
        Total:   100 runs
    Successes:   100 runs
