Hello, World!
-- Benchmark for SubmissionPublisherLoops3Test --
-- Warming up ...
Iteration 0001: Success, per iter time: 3.7861 seconds
Iteration 0002: Success, per iter time: 3.5013 seconds
Iteration 0003: Success, per iter time: 3.6950 seconds
Iteration 0004: Success, per iter time: 3.5270 seconds
Iteration 0005: Success, per iter time: 3.0966 seconds
Iteration 0006: Success, per iter time: 7.1202 seconds
Iteration 0007: Success, per iter time: 4.0222 seconds
Iteration 0008: Success, per iter time: 4.4796 seconds
Iteration 0009: Success, per iter time: 4.3701 seconds
Iteration 0010: Success, per iter time: 4.9824 seconds
-- Running benchmark ...
Iteration 0001: Success, per iter time: 4.8700 seconds
Iteration 0002: Success, per iter time: 6.9392 seconds
Iteration 0003: Success, per iter time: 3.9721 seconds
Iteration 0004: Success, per iter time: 3.9355 seconds
Iteration 0005: Success, per iter time: 5.8416 seconds
Iteration 0006: Success, per iter time: 4.7117 seconds
Iteration 0007: Success, per iter time: 4.0921 seconds
Iteration 0008: Success, per iter time: 6.5046 seconds
Iteration 0009: Success, per iter time: 3.7354 seconds
Iteration 0010: Success, per iter time: 6.0314 seconds
Iteration 0011: Success, per iter time: 3.7357 seconds
Iteration 0012: Success, per iter time: 6.9446 seconds
Iteration 0013: Success, per iter time: 4.9009 seconds
Iteration 0014: Success, per iter time: 4.9350 seconds
Iteration 0015: Success, per iter time: 5.0451 seconds
Iteration 0016: Success, per iter time: 4.9664 seconds
Iteration 0017: Success, per iter time: 6.6956 seconds
Iteration 0018: Success, per iter time: 4.4687 seconds
Iteration 0019: Success, per iter time: 4.1084 seconds
Iteration 0020: Success, per iter time: 6.4072 seconds
Iteration 0021: Success, per iter time: 4.4086 seconds
Iteration 0022: Success, per iter time: 4.9351 seconds
Iteration 0023: Success, per iter time: 6.1680 seconds
Iteration 0024: Success, per iter time: 6.4255 seconds
Iteration 0025: Success, per iter time: 5.3947 seconds
Iteration 0026: Success, per iter time: 5.4377 seconds
Iteration 0027: Success, per iter time: 4.4684 seconds
Iteration 0028: Success, per iter time: 4.5814 seconds
Iteration 0029: Success, per iter time: 4.6005 seconds
Iteration 0030: Success, per iter time: 5.0686 seconds
Iteration 0031: Success, per iter time: 3.9345 seconds
Iteration 0032: Success, per iter time: 4.8082 seconds
Iteration 0033: Success, per iter time: 6.8616 seconds
Iteration 0034: Success, per iter time: 3.4376 seconds
Iteration 0035: Success, per iter time: 5.9152 seconds
Iteration 0036: Success, per iter time: 4.9697 seconds
Iteration 0037: Success, per iter time: 3.8577 seconds
Iteration 0038: Success, per iter time: 4.6864 seconds
Iteration 0039: Success, per iter time: 5.1292 seconds
Iteration 0040: Success, per iter time: 6.2647 seconds
Iteration 0041: Success, per iter time: 3.6633 seconds
Iteration 0042: Success, per iter time: 5.7816 seconds
Iteration 0043: Success, per iter time: 4.7356 seconds
Iteration 0044: Success, per iter time: 5.8362 seconds
Iteration 0045: Success, per iter time: 3.3578 seconds
Iteration 0046: Success, per iter time: 4.6032 seconds
Iteration 0047: Success, per iter time: 3.5550 seconds
Iteration 0048: Success, per iter time: 4.4217 seconds
Iteration 0049: Success, per iter time: 5.0995 seconds
Iteration 0050: Success, per iter time: 5.8174 seconds
Iteration 0051: Success, per iter time: 6.6331 seconds
Iteration 0052: Success, per iter time: 7.4289 seconds
Iteration 0053: Success, per iter time: 5.6226 seconds
Iteration 0054: Success, per iter time: 5.2931 seconds
Iteration 0055: Success, per iter time: 3.7295 seconds
Iteration 0056: Success, per iter time: 7.5315 seconds
Iteration 0057: Success, per iter time: 4.9658 seconds
Iteration 0058: Success, per iter time: 3.7681 seconds
Iteration 0059: Success, per iter time: 7.1338 seconds
Iteration 0060: Success, per iter time: 3.8063 seconds
Iteration 0061: Success, per iter time: 4.0666 seconds
Iteration 0062: Success, per iter time: 3.7473 seconds
Iteration 0063: Success, per iter time: 3.7508 seconds
Iteration 0064: Success, per iter time: 4.9654 seconds
Iteration 0065: Success, per iter time: 5.2283 seconds
Iteration 0066: Success, per iter time: 3.3326 seconds
Iteration 0067: Success, per iter time: 4.4660 seconds
Iteration 0068: Success, per iter time: 5.3946 seconds
Iteration 0069: Success, per iter time: 6.4970 seconds
Iteration 0070: Success, per iter time: 4.4114 seconds
Iteration 0071: Success, per iter time: 5.6156 seconds
Iteration 0072: Success, per iter time: 4.9032 seconds
Iteration 0073: Success, per iter time: 6.4948 seconds
Iteration 0074: Success, per iter time: 5.3218 seconds
Iteration 0075: Success, per iter time: 4.1344 seconds
Iteration 0076: Success, per iter time: 4.1885 seconds
Iteration 0077: Success, per iter time: 5.0793 seconds
Iteration 0078: Success, per iter time: 3.9468 seconds
Iteration 0079: Success, per iter time: 5.1646 seconds
Iteration 0080: Success, per iter time: 4.8381 seconds
Iteration 0081: Success, per iter time: 5.0186 seconds
Iteration 0082: Success, per iter time: 5.3456 seconds
Iteration 0083: Success, per iter time: 6.7064 seconds
Iteration 0084: Success, per iter time: 4.1736 seconds
Iteration 0085: Success, per iter time: 3.8161 seconds
Iteration 0086: Success, per iter time: 8.5844 seconds
Iteration 0087: Success, per iter time: 3.7650 seconds
Iteration 0088: Success, per iter time: 4.9370 seconds
Iteration 0089: Success, per iter time: 3.5567 seconds
Iteration 0090: Success, per iter time: 5.3988 seconds
Iteration 0091: Success, per iter time: 5.1337 seconds
Iteration 0092: Success, per iter time: 7.5543 seconds
Iteration 0093: Success, per iter time: 4.8951 seconds
Iteration 0094: Success, per iter time: 3.6274 seconds
Iteration 0095: Success, per iter time: 6.9360 seconds
Iteration 0096: Success, per iter time: 5.8561 seconds
Iteration 0097: Success, per iter time: 4.4133 seconds
Iteration 0098: Success, per iter time: 5.2089 seconds
Iteration 0099: Success, per iter time: 5.7101 seconds
Iteration 0100: Success, per iter time: 5.4303 seconds
-- Statistics:
 Average time: 5.0859 seconds
 Std Dev time: 1.1162 seconds
        Total:   100 runs
    Successes:   100 runs
    Succ Rate: 1.000000
     Timeouts:     0 runs
 Timeout Rate: 0.000000
     Failures:     0 runs
 Failure Rate: 0.000000
-- End of SubmissionPublisherLoops3Test session --
